Project, LF, LPL, TMM, Total, Lifespan, Issues, LOC, Commits, Contributors, Stargazers
pedrovgs/Algorithms,7,31,26,64,1477,10,10699,415,12,2452
TangoAgency/material-intro-screen,4,39,7,50,804,75,5018,108,5,2452
googlesamples/android-vision,0,43,14,57,1243,266,10399,76,18,2444
MovingBlocks/Terasology,57,1682,391,2130,2823,415,241390,9681,301,2444
spring-projects/spring-data-examples,35,29,17,81,1760,31,92099,453,25,2440
yhaolpz/FloatWindow,0,7,6,13,376,46,1551,37,6,2436
balysv/material-menu,0,9,3,12,1599,6,1114,118,7,2435
yarolegovich/SlidingRootNav,0,6,3,9,609,18,1106,19,5,2433
jd-alexander/LikeButton,0,13,2,15,1068,16,1025,127,10,2433
alibaba/cobar,7,254,87,348,1775,49,89934,63,19,2432
phishman3579/java-algorithms-implementation,0,236,78,314,1831,18,30786,855,31,2431
google/binnavi,164,3517,447,4128,1194,23,455685,301,21,2420
google/hover,3,31,17,51,1077,22,7491,145,4,2418
cglib/cglib,2,792,36,830,1702,43,19134,852,26,2417
airbnb/airpal,0,74,5,79,1665,85,6634,597,36,2412
romainguy/ViewServer,0,2,4,6,2698,7,772,26,8,2410
apache/jmeter,32,764,287,1083,3105,12,195055,22565,38,2404
florent37/DiagonalLayout,0,3,1,4,772,6,402,66,10,2401
sd6352051/NiftyDialogEffects,0,0,1,1,1578,3,866,96,11,2397
ozodrukh/CircularReveal,0,25,1,26,1468,21,2464,92,15,2396
raphw/byte-buddy,298,68,13,379,1826,24,218971,5033,50,2394
bmelnychuk/AndroidTreeView,2,18,3,23,1383,107,2503,57,7,2390
MagicMashRoom/SuperCalendar,0,32,6,38,563,64,2309,162,8,2389
harjot-oberai/MusicDNA,10,316,61,387,939,12,89704,349,10,2385
apache/hbase,450,6464,1352,8266,1647,6,870384,43016,382,2382
pchmn/MaterialChipsInput,0,18,6,24,591,102,2388,24,2,2381
jhalterman/failsafe,0,39,24,63,1244,50,8423,354,17,2380
glomadrian/Grav,0,18,2,20,603,15,1397,51,3,2380
fyhertz/libstreaming,0,26,10,36,2125,220,7864,125,13,2376
wenmingvs/AndroidProcess,0,6,4,10,1041,13,2829,71,2,2376
uber/NullAway,5,142,27,174,450,32,14701,254,10,2371
languagetool-org/languagetool,124,831,114,1069,1935,272,135475,28798,135,2371
chewiebug/GCViewer,3,95,41,139,2590,54,23942,683,47,2369
pnikosis/materialish-progress,0,4,1,5,1471,17,797,45,5,2366
dreamhead/moco,11,88,58,157,2229,99,19153,2410,33,2360
stfalcon-studio/ChatKit,5,41,7,53,661,52,6014,295,24,2360
flavioarfaria/KenBurnsView,0,7,2,9,1712,10,877,113,10,2359
nisrulz/sensey,0,19,10,29,1109,21,4022,243,3,2357
DylanVann/react-native-fast-image,1,13,0,14,591,101,779,387,38,2355
500px/500px-android-blur,0,0,0,0,1353,25,271,23,5,2355
JakeWharton/Telecine,2,15,5,22,1495,37,1705,271,32,2345
apache/beam,282,2826,940,4048,1027,82,542069,19575,545,2339
youtube/api-samples,0,8,0,8,1812,167,4394,467,20,2336
githubwing/ZoomHeader,0,10,2,12,719,5,645,19,2,2329
googlesamples/google-services,0,11,6,17,1285,44,1937,629,44,2328
Screetsec/TheFatRat,28,1721,152,1901,854,36,98493,625,11,2322
LawnchairLauncher/Lawnchair,11,686,110,807,632,337,64247,19518,244,2316
iPaulPro/Android-ItemTouchHelper-Demo,0,5,0,5,1260,43,544,13,1,2312
konifar/android-material-design-icon-generator-plugin,2,2,1,5,1426,13,1038,120,14,2309
iwgang/CountdownView,0,17,4,21,1140,25,3478,98,7,2308
ronmamo/reflections,1,11,14,26,2049,89,5135,150,35,2300
hussien89aa/AndroidTutorialForBeginners,0,36,7,43,790,8,5008,35,2,2296
simple-android-framework/android_design_patterns_analysis,0,0,0,0,1366,5,340,149,16,2294
ityouknow/spring-cloud-examples,11,0,0,11,576,8,1585,61,2,2289
siyamed/android-shape-imageview,0,51,3,54,1547,52,2795,82,5,2286
abel533/MyBatis-Spring-Boot,0,0,0,0,1072,89,1132,49,2,2285
auth0/java-jwt,0,29,26,55,1724,38,8616,323,37,2282
Twitter4J/Twitter4J,1,378,74,453,3502,22,48144,2340,170,2281
rovo89/XposedInstaller,2,58,18,78,2428,139,8057,1068,56,2279
dlew/joda-time-android,0,14,4,18,1782,7,2273,334,16,2277
luckybilly/CC,0,15,8,23,367,9,5302,164,6,2276
h2oai/h2o-2,4,1162,242,1408,2118,11,112125,16955,96,2273
JackyAndroid/AndroidChromium,66,1893,395,2354,874,17,187870,68,6,2271
mpusher/mpush,0,110,44,154,941,16,25337,1565,6,2271
Nightonke/CoCoin,6,131,22,159,1135,27,21342,104,2,2271
brianfrankcooper/YCSB,6,305,82,393,3142,165,32045,1361,166,2270
goldze/MVVMHabit,0,107,21,128,492,3,11141,183,1,2267
theDazzler/droidicon,0,29,0,29,1470,8,3411,167,3,2264
aritraroy/PatternLockView,3,6,2,11,608,13,2013,41,2,2264
oracle/opengrok,7,394,125,526,2148,474,101242,4491,115,2261
eclipse/jetty.project,106,2330,670,3106,2691,377,419274,18759,129,2258
looly/hutool,2,1136,179,1317,1687,0,114709,1807,22,2256
alibaba/easyexcel,0,44,9,53,292,22,6064,76,3,2249
android-cjj/JJSearchViewAnim,1,5,1,7,966,5,1248,64,3,2242
ffay/lanproxy,0,12,5,17,735,74,2970,60,3,2242
twitter/distributedlog,33,596,129,758,1040,1,83069,107,23,2240
qiujuer/Genius-Android,1,101,25,127,1599,3,12700,649,5,2239
markushi/android-ui,0,12,2,14,1526,12,758,15,3,2237
TeamAmaze/AmazeFileManager,1,271,50,322,1595,244,39631,3726,115,2235
Prototik/HoloEverywhere,6,604,123,733,2456,49,59515,921,58,2234
thingsboard/thingsboard,81,915,168,1164,724,406,80235,2030,73,2234
vipulasri/Timeline-View,0,5,0,5,1076,6,683,61,4,2233
deano2390/MaterialShowcaseView,0,17,3,20,1208,117,1741,103,20,2231
xinghongfei/LookLook,0,83,16,99,827,25,8051,115,13,2230
apache/camel,4455,6362,1680,12497,3475,2,1645597,44636,634,2230
btraceio/btrace,1,522,76,599,1550,25,61518,1110,20,2229
Frank-Zhu/PullZoomView,1,11,4,16,1543,29,1666,27,3,2229
google/google-java-format,1,94,28,123,1294,56,17278,489,56,2228
javaee-samples/javaee7-samples,28,85,18,131,1916,98,55800,1480,66,2228
bigbluebutton/bigbluebutton,18,1573,245,1836,3106,587,128342,22995,157,2226
AriaLyy/Aria,3,166,71,240,1010,11,45437,663,6,2225
mxn21/FlowingDrawer,0,21,2,23,1199,4,2196,99,5,2225
ZieIony/Carbon,14,484,48,546,1390,6,45964,433,5,2224
mikepenz/AboutLibraries,0,17,4,21,1678,2,2950,1348,99,2220
powermock/powermock,147,349,96,592,1642,320,57516,1595,48,2218
quartz-scheduler/quartz,39,288,78,405,993,149,75583,2120,57,2218
apache/hive,483,11274,2179,13936,3475,208,1553205,18121,281,2217
square/tape,0,11,7,18,2267,19,2002,329,30,2215
JackyAndroid/AndroidTVLauncher,1,7,3,11,973,3,1342,187,4,2211
chanjarster/weixin-java-tools,16,124,23,163,1560,78,17940,416,26,2208
2dxgujun/AndroidTagGroup,0,9,1,10,1384,69,1111,72,1,2207
zhanglei-workspace/shopping-management-system,0,36,5,41,1105,12,8315,62,4,2204
stormzhang/9GAG,0,77,7,84,1684,53,5670,99,4,2204
react-native-community/react-native-blur,0,0,1,1,1326,84,287,230,47,2203
huazhiyuan2008/RecyclerViewCardGallery,0,8,0,8,815,15,529,23,4,2203
chenupt/SpringIndicator,0,7,1,8,1394,21,689,54,3,2200
ldoublem/LoadingView,0,30,20,50,887,9,4204,57,1,2199
ata4/disunity,0,40,15,55,1953,161,6098,843,13,2197
apache/incubator-dubbo-spring-boot-project,11,1,2,14,311,68,2422,206,17,2192
voldemort/voldemort,63,1040,428,1531,3465,81,206094,4959,107,2190
esoxjem/MovieGuide,0,4,9,13,1085,4,2721,197,19,2190
r0adkll/Slidr,0,44,6,50,1559,20,2888,99,10,2189
facebook/react-native-fbsdk,0,5,2,7,1210,22,2113,197,74,2187
WritingMinds/ffmpeg-android-java,2,6,3,11,1536,216,1405,178,7,2186
immutables/immutables,22,163,133,318,1967,149,54422,1668,59,2186
Yalantis/Euclid,0,3,1,4,1353,1,604,7,5,2184
jjoe64/GraphView,0,27,5,32,2701,127,6764,439,42,2184
google/data-transfer-project,17,194,22,233,325,82,25144,1385,25,2183
moezbhatti/qksms,3,123,22,148,1373,232,25146,1898,55,2183
linkedin/databus,122,924,231,1277,2169,34,177968,334,22,2182
daimajia/AnimationEasingFunctions,0,39,0,39,1610,5,1410,41,9,2179
xmuSistone/CardSlidePanel,0,10,1,11,1092,8,840,152,4,2179
alibaba/Tangram-Android,2,142,30,174,606,22,20551,282,9,2177
FinalTeam/RxGalleryFinal,4,97,16,117,947,121,11436,255,12,2174
bingoogolapple/BGABadgeView-Android,0,10,3,13,1237,18,1844,75,2,2172
balysv/material-ripple,0,6,2,8,1531,42,902,66,7,2170
square/mortar,0,19,11,30,1842,33,5048,288,32,2170
code-mc/material-icon-lib,0,7,1,8,1225,5,957,31,3,2167
mybatis/spring-boot-starter,2,2,1,5,1157,11,2599,481,16,2167
undertow-io/undertow,139,1368,231,1738,2320,20,178486,6266,141,2164
iammert/MaterialIntroView,0,19,3,22,1030,46,1707,98,11,2163
android-cjj/BeautifulRefreshLayout,0,7,0,7,1208,4,1201,79,5,2160
avast/android-styled-dialogs,0,17,4,21,2010,10,2012,289,30,2160
xfumihiro/ViewInspector,0,32,10,42,1134,13,3276,91,2,2159
bin456789/Unblock163MusicClient-Xposed,0,15,3,18,1046,87,2413,103,3,2158
wildfly/wildfly,1779,4475,756,7010,3062,51,776148,28484,418,2155
crate/crate,144,1470,633,2247,2055,79,259652,11293,67,2151
pentaho/pentaho-kettle,309,5788,1008,7105,1874,27,963444,28266,369,2150
woxingxiao/BubbleSeekBar,0,22,2,24,752,20,2062,146,6,2149
zhouchaoyuan/excelPanel,0,11,5,16,679,27,1528,24,1,2149
spring-projects/spring-loaded,11,362,77,450,2180,122,52528,244,18,2148
spockframework/spock,24,224,60,308,2905,189,33432,3240,89,2148
jaydenxiao2016/AndroidFire,0,248,46,294,790,32,29623,22,2,2146
eleme/UETool,0,25,3,28,193,2,2742,191,10,2145
web3j/web3j,10,375,73,458,812,207,35154,1233,108,2143
iSoron/uhabits,3,151,69,223,1478,110,31170,1285,26,2142
vikramkakkar/SublimePicker,0,110,14,124,1281,57,12275,53,2,2140
azkaban/azkaban,18,716,130,864,2229,500,84782,2490,102,2137
ittianyu/BottomNavigationViewEx,0,10,1,11,743,12,1428,67,7,2132
soarcn/BottomSheet,0,23,4,27,1525,12,2266,180,12,2131
aragozin/jvm-tools,3,149,92,244,2402,10,38666,376,20,2129
chrisbanes/philm,9,143,30,182,1621,13,19233,765,5,2129
AntennaPod/AntennaPod,10,330,98,438,2308,363,53127,4642,119,2126
amitshekhariitbhu/awesome-android-complete-reference,0,0,0,0,893,2,96,177,9,2126
reark/reark,4,46,17,67,1793,10,10046,415,16,2124
CrawlScript/WebCollector,0,16,14,30,1597,36,7248,320,6,2124
VictorAlbertos/RxCache,10,91,21,122,1050,13,10797,246,18,2117
watabou/pixel-dungeon,0,167,107,274,1583,49,49294,25,2,2117
code4craft/netty-learning,85,665,121,871,1893,3,105668,97,4,2116
alipay/sofa-boot,33,72,9,114,237,16,17146,231,14,2112
apache/ignite,2639,7952,2600,13191,1375,1422,1526649,29336,299,2103
linlinjava/litemall,5,309,112,426,248,15,76695,551,11,2097
yqritc/RecyclerView-FlexibleDivider,1,8,1,10,1410,22,1113,74,8,2094
oasisfeng/condom,0,172,12,184,609,5,4470,122,2,2094
mongodb/mongo-java-driver,91,1632,317,2040,3601,12,176900,7040,153,2090
zagum/Android-SwitchIcon,0,2,1,3,686,1,331,56,5,2090
apache/lucene-solr,512,8497,2096,11105,1037,261,1431288,55380,164,2090
florent37/ViewAnimator,0,3,5,8,1069,16,1934,98,9,2087
Diolor/Swipecards,0,6,2,8,1572,70,774,168,9,2087
JZ-Darkal/AndroidHttpCapture,5,125,34,164,771,28,20791,82,3,2083
javaparser/javaparser,116,915,342,1373,2583,302,181471,5167,133,2083
jdsjlzx/LRecyclerView,7,145,20,172,920,74,17754,393,11,2082
android-cjj/Android-MaterialRefreshLayout,0,19,9,28,1173,75,3342,90,7,2079
AbrahamCaiJin/CommonUtilLibrary,0,183,35,218,576,7,23741,156,3,2077
igreenwood/SimpleCropView,0,25,6,31,1223,52,4103,248,13,2076
grandcentrix/tray,0,35,21,56,1389,29,6785,315,13,2076
zaaach/CityPicker,0,16,1,17,1002,29,1383,30,1,2075
katzer/cordova-plugin-local-notifications,0,6,4,10,1933,150,4039,914,52,2074
nanchen2251/RxJava2Examples,0,18,2,20,524,5,4470,50,1,2073
androidquery/androidquery,3,305,32,340,2634,76,15976,695,8,2073
AltBeacon/android-beacon-library,2,103,33,138,1581,119,14907,1218,58,2070
facebook/device-year-class,0,1,1,2,1360,4,612,55,13,2068
Zomato/AndroidPhotoFilters,0,10,0,10,898,19,1062,41,7,2064
skavanagh/KeyBox,0,20,4,24,2117,62,9051,454,20,2063
hefuyicoder/ListenerMusicPlayer,1,122,30,153,654,16,19955,34,3,2060
Dimezis/BlurView,0,5,2,7,948,10,922,212,8,2058
AigeStudio/WheelPicker,0,7,2,9,1090,86,2619,156,10,2051
mcharmas/Android-ReactiveLocation,17,25,2,44,1762,25,2428,169,27,2049
ToxicBakery/ViewPagerTransforms,2,2,1,5,1657,6,865,83,12,2048
querydsl/querydsl,8,1006,270,1284,2669,414,147689,7635,88,2047
cymcsg/UltimateAndroid,81,3483,503,4067,1629,15,335987,905,9,2045
elye/loaderviewlibrary,0,6,1,7,821,0,477,57,11,2045
dmilicic/Android-Clean-Boilerplate,0,2,0,2,1034,2,373,23,5,2044
sockeqwe/AdapterDelegates,2,33,8,43,1215,4,3560,141,16,2044
zhou-you/RxEasyHttp,0,83,33,116,536,8,15894,207,1,2044
florent37/CameraFragment,3,48,15,66,681,84,5277,76,12,2044
apache/incubator-pinot,338,2204,405,2947,1651,202,327811,7176,86,2044
Rukey7/MvpApp,2,181,49,232,828,18,26842,123,5,2043
ltsopensource/light-task-scheduler,7,291,107,405,1493,96,54193,1048,21,2040
confluentinc/ksql,22,592,168,782,789,416,85624,3568,66,2032
tronprotocol/java-tron,18,376,218,612,334,48,110444,9429,118,2030
tyzlmjj/PagerBottomTabStrip,3,56,7,66,1190,0,3779,100,7,2028
jgilfelt/android-sqlite-asset-helper,0,5,1,6,2546,78,718,71,5,2019
H07000223/FlycoDialog_Master,0,35,8,43,1183,21,4563,76,4,2016
zcweng/ToggleButton,0,10,3,13,1547,28,1772,50,11,2016
google/wycheproof,0,28,16,44,747,12,12783,91,19,2014
fengjundev/Android-Skin-Loader,0,80,16,96,1243,30,5677,70,3,2012
google/volley,1,54,13,68,670,10,10042,2006,67,2011
konmik/nucleus,0,23,7,30,1460,7,4653,206,13,2004
apache/shiro,58,217,89,364,3375,44,69702,2104,38,2002
square/keywhiz,17,161,49,227,1341,29,24815,860,29,1999
JakeWharton/RxRelay,1,4,6,11,1062,1,2833,60,9,1999
Aspsine/SwipeToLoadLayout,3,71,21,95,1180,47,5972,173,5,1998
zjw-swun/AppMethodOrder,0,3,4,7,610,4,238,49,9,1996
AnderWeb/discreteSeekBar,0,16,5,21,1458,70,2320,43,7,1996
balsikandar/Android-Studio-Plugins,0,0,1,1,471,3,70,41,3,1994
google/rejoiner,1,17,7,25,354,14,4894,215,10,1991
bonnyfone/vectalign,0,8,6,14,1179,3,2892,73,3,1990
tjerkw/Android-SlideExpandableListView,1,12,1,14,2347,46,783,95,14,1990
PomepuyN/BlurEffectForAndroidDesign,0,5,0,5,1983,8,464,9,2,1988
gjiazhe/PanoramaImageView,0,1,0,1,704,8,417,26,2,1986
deathmarine/Luyten,0,12,6,18,1963,87,5656,143,16,1986
Naoki2015/CircleDemo,2,63,13,78,1060,17,6674,89,5,1985
Polidea/RxAndroidBle,18,140,27,185,1025,32,13122,690,37,1985
guoguibing/librec,8,162,52,222,1781,37,48576,1074,34,1984
mcharmas/android-parcelable-intellij-plugin,3,27,2,32,2124,21,2256,107,11,1984
Ramotion/paper-onboarding-android,3,5,1,9,944,17,832,43,8,1984
LaiFeng-Android/SopCastComponent,0,44,22,66,719,22,10487,33,2,1983
TheFinestArtist/FinestWebView-Android,0,19,4,23,2060,107,2521,201,13,1982
pwittchen/ReactiveNetwork,10,16,8,34,1203,15,2823,686,11,1980
lingochamp/okdownload,4,332,77,413,343,62,28497,534,4,1979
BaronZ88/MinimalistWeather,1,18,5,24,962,8,6129,126,3,1972
crazyandcoder/citypicker,0,54,6,60,927,16,6161,143,8,1969
Jude95/EasyRecyclerView,0,28,6,34,1226,92,5030,181,10,1967
MikeOrtiz/TouchImageView,0,15,1,16,2625,96,1226,85,5,1966
jackpal/Android-Terminal-Emulator,0,119,20,139,3004,118,14909,1088,84,1965
zzz40500/AndroidSweetSheet,0,25,2,27,1207,21,2223,30,5,1965
steelkiwi/cropiwa,0,52,11,63,619,34,3747,82,8,1964
zhangkaitao/es,16,289,66,371,2143,35,33115,344,5,1963
alipay/sofa-rpc,30,396,109,535,230,34,88557,178,23,1962
kymjs/KJFrameForAndroid,0,219,49,268,1631,19,25955,537,9,1956
spotify/helios,28,334,90,452,1644,5,59095,3243,56,1956
kabouzeid/Phonograph,9,168,61,238,1361,234,23275,1575,40,1954
linyiqun/DataMiningAlgorithm,0,47,16,63,1414,2,15129,92,2,1952
Devlight/NavigationTabStrip,0,5,1,6,924,30,742,31,5,1951
LWJGL/lwjgl3,267,15153,1894,17314,2163,42,649062,2905,30,1950
nutzam/nutz,7,1156,220,1383,2725,16,119607,6015,96,1947
Krupen/FabulousFilter,1,26,2,29,517,10,2308,55,3,1945
SplashCodes/JAViewer,0,48,9,57,918,9,6891,103,6,1944
fython/MaterialStepperView,1,13,1,15,474,7,1811,50,8,1941
lettuce-io/lettuce-core,176,1665,299,2140,1660,23,124432,2575,33,1940
mcxtzhang/ZLayoutManager,0,20,1,21,759,27,1735,50,3,1940
baoyongzhang/android-PullRefreshLayout,0,9,6,15,1485,35,2232,71,4,1940
prontera/spring-cloud-rest-tcc,13,41,8,62,1087,15,6967,75,3,1937
Netflix/curator,0,8,4,12,2691,9,1315,1175,27,1935
twosigma/beakerx,91,428,161,680,1818,241,91848,3339,44,1932
yingLanNull/ShadowImageView,0,5,0,5,610,3,473,37,1,1929
pmd/pmd,172,628,265,1065,2328,211,146737,14404,204,1926
guoxiaoxing/android-open-source-project-analysis,0,29,9,38,639,12,4297,639,2,1919
ApmeM/android-flowlayout,0,7,3,10,2633,27,2086,143,18,1918
jiajunhui/PlayerBase,0,111,48,159,607,16,14180,320,2,1909
evrencoskun/TableView,5,58,14,77,530,79,6840,287,9,1909
fqrouter/fqrouter,0,191,27,218,2786,63,36152,1065,3,1908
Wizcorp/phonegap-facebook-plugin,2,472,81,555,2735,427,45933,634,72,1907
JanusGraph/janusgraph,51,817,190,1058,699,348,101531,5446,123,1907
rmtheis/android-ocr,0,24,4,28,2591,1,4955,115,1,1906
white-cat/ThinkAndroid,3,144,38,185,2022,2,25744,6,1,1906
KieronQuinn/PersistentSearch,0,28,3,31,1361,28,2758,57,14,1905
skyfishjy/android-ripple-background,0,1,0,1,1479,27,180,11,3,1904
wordpress-mobile/WordPress-Android,30,1043,234,1307,2057,360,124609,34572,127,1904
googlesamples/android-Camera2Basic,0,9,1,10,1613,111,1008,28,3,1904
elevenetc/TextSurface,0,38,5,43,1139,7,2757,14,2,1901
AweiLoveAndroid/CommonDevKnowledge,0,2,0,2,345,4,213,33,3,1900
EverythingMe/overscroll-decor,11,38,5,54,1099,28,2676,56,4,1899
Yalantis/Horizon,0,10,1,11,978,16,962,26,3,1895
Red5/red5-server,2,61,25,88,1832,26,19001,456,14,1894
tiann/understand-plugin-framework,0,21,0,21,1032,4,2358,48,4,1893
jjdxmashl/jjdxm_ijkplayer,1,27,6,34,909,77,5555,53,2,1888
lisawray/groupie,0,61,9,70,815,34,3983,175,32,1888
promeG/TinyPinyin,0,2,1,3,1152,16,2997,22,3,1888
spring-cloud-incubator/spring-cloud-alibaba,25,42,1,68,359,17,10535,284,18,1887
novoda/android-demos,1,79,17,97,3409,1,9093,421,35,1886
addthis/stream-lib,0,43,32,75,2812,32,11177,398,51,1886
RomainPiel/Shimmer-android,0,5,0,5,1725,13,507,39,5,1882
flavienlaurent/datetimepicker,0,38,5,43,2002,58,3669,73,11,1881
jMonkeyEngine/jmonkeyengine,17,3091,450,3558,1711,131,324368,7021,159,1881
yanzhenjie/Album,0,75,8,83,753,57,11112,161,7,1880
fanrunqi/MaterialLogin,0,0,0,0,843,2,218,36,7,1879
nanchen2251/CompressHelper,0,11,3,14,619,19,1049,51,3,1877
FasterXML/jackson-databind,31,1497,326,1854,2529,324,147069,5244,171,1877
jboss-javassist/javassist,1,778,126,905,2011,91,102631,892,33,1874
Karumi/Rosie,13,20,19,52,1101,14,9596,514,19,1871
niorgai/StatusBarCompat,0,11,0,11,979,0,773,37,3,1871
linkedin/rest.li,252,2902,538,3692,2186,23,365276,2010,101,1870
reactor/reactor-core,11,563,532,1106,1111,69,174852,2418,87,1868
ethereum/ethereumj,2,455,200,657,1657,77,101622,5558,98,1866
Bukkit/Bukkit,4,455,63,522,2884,63,56802,1510,131,1865
JingYeoh/FragmentRigger,0,30,13,43,374,7,4617,147,7,1864
MindorksOpenSource/PRDownloader,0,7,5,12,379,52,4051,117,5,1864
gongwen/MarqueeViewLibrary,0,6,2,8,705,11,1140,52,3,1864
tvbarthel/BlurDialogFragment,0,8,3,11,1569,30,1693,173,12,1863
hitherejoe/Android-Boilerplate,0,4,1,5,1332,7,1536,58,4,1862
Mojang/brigadier,2,26,21,49,1532,24,5504,179,13,1859
gotev/android-upload-service,1,48,7,56,1888,18,6243,616,23,1859
XunMengWinter/CircularAnim,0,3,2,5,858,4,725,107,5,1856
JessYanCoding/ProgressManager,0,11,3,14,537,1,89226,92,3,1854
http-kit/http-kit,0,54,15,69,2448,54,6954,521,67,1853
M66B/XPrivacy,0,170,17,187,2009,71,21674,8156,91,1850
seiginonakama/BlockCanaryEx,0,27,6,33,629,20,4443,95,6,1849
yadav-rahul/TastyToast,0,12,6,18,861,16,974,67,4,1849
vert-x3/vertx-examples,6,82,21,109,1370,15,17767,1148,92,1848
detro/ghostdriver,1,3,6,10,2440,157,4121,692,59,1846
NLPIR-team/NLPIR,0,65,10,75,1301,123,7002,352,9,1843
igniterealtime/Smack,68,642,175,885,1756,14,175739,3706,97,1840
pakerfeldt/android-viewflow,0,15,3,18,2759,49,1961,123,16,1835
alexvasilkov/GestureViews,0,93,22,115,1640,8,10816,383,4,1835
Yalantis/StarWars.Android,0,29,5,34,1077,5,2162,23,4,1834
kiegroup/drools,326,4963,1129,6418,2837,7,771336,15108,197,1831
akaxincom/openzaly,1,373,469,843,304,1,208239,724,6,1830
alibaba/TProfiler,0,16,4,20,2413,21,3794,59,12,1829
mthli/Knife,0,24,2,26,1082,18,1469,76,3,1826
gouthampradhan/leetcode,3,93,2,98,626,0,18239,272,5,1826
pilgr/Paper,0,9,8,17,1263,17,2244,205,17,1825
floragunncom/search-guard,8,173,25,206,1281,22,18351,2744,20,1825
WVector/AppUpdate,0,34,7,41,524,59,3457,174,7,1824
Froussios/Intro-To-RxJava,0,1,23,24,1339,23,9445,310,10,1823
libgdx/packr,0,2,2,4,1704,48,896,218,20,1821
apache/nutch,5,532,79,616,3475,21,79012,3653,83,1821
Yalantis/FlipViewPager.Draco,0,10,1,11,1325,6,678,14,8,1820
ninjaframework/ninja,23,232,83,338,2360,111,47978,2211,93,1818
cucumber/cucumber-jvm,39,150,71,260,2708,21,29099,3838,265,1815
coobird/thumbnailator,4,47,29,80,1219,57,35001,522,1,1814
Netflix/archaius,28,75,17,120,2389,81,13778,1172,59,1814
hyb1996/Auto.js,8,532,135,675,667,40,49092,747,5,1813
java8/Java8InAction,0,22,6,28,1854,14,3858,61,9,1812
